race_id,state_postal,state_name,office_id,seat_name,seat_num,race_call_status,last_updated,precincts_reporting,precincts_total,precincts_reporting_pct,expected_vote_pct,total_votes,candidate_id,first_name,last_name,party,incumbent,vote_count,vote_pct
20241105AZ4021,AZ,Arizona,S,Class I,1,Too Early to Call,2024-11-08T01:23:00.527000+00:00,1223,1736,70.45,70.45,2515298,64361,Ruben,Gallego,Dem,False,1257757,50.0
20241105AZ4021,AZ,Arizona,S,Class I,1,Too Early to Call,2024-11-08T01:23:00.527000+00:00,1223,1736,70.45,70.45,2515298,70992,Kari,Lake,GOP,False,1206066,47.95
20241105AZ4021,AZ,Arizona,S,Class I,1,Too Early to Call,2024-11-08T01:23:00.527000+00:00,1223,1736,70.45,70.45,2515298,167853,Eduardo,Quintana,Grn,False,51475,2.05
20241105CA8619,CA,California,S,Class I,1,Called,2024-11-08T01:24:40.916000+00:00,13910,24811,56.06,56.06,10170581,89,Adam,Schiff,Dem,False,5862234,57.64
20241105CA8619,CA,California,S,Class I,1,Called,2024-11-08T01:24:40.916000+00:00,13910,24811,56.06,56.06,10170581,160951,Steve,Garvey,GOP,False,4308347,42.36
20241105CA82961,CA,California,S,Class I Unexpired Term,1,Called,2024-11-08T01:24:40.680000+00:00,13645,24811,55.0,55.0,9977170,89,Adam,Schiff,Dem,False,5742872,57.56
20241105CA82961,CA,California,S,Class I Unexpired Term,1,Called,2024-11-08T01:24:40.680000+00:00,13645,24811,55.0,55.0,9977170,160951,Steve,Garvey,GOP,False,4234298,42.44
20241105CT9145,CT,Connecticut,S,Class I,1,Called,2024-11-08T01:19:32.758000+00:00,752,757,99.34,96.95,1682893,52147,Chris,Murphy,Dem,True,982296,58.37
20241105CT9145,CT,Connecticut,S,Class I,1,Called,2024-11-08T01:19:32.758000+00:00,752,757,99.34,96.95,1682893,62729,Matthew,Corey,GOP,False,671275,39.89
20241105CT9145,CT,Connecticut,S,Class I,1,Called,2024-11-08T01:19:32.758000+00:00,752,757,99.34,96.95,1682893,168265,Robert,Finley Hyde,Oth,False,14673,0.87
20241105CT9145,CT,Connecticut,S,Class I,1,Called,2024-11-08T01:19:32.758000+00:00,752,757,99.34,96.95,1682893,69655,Justin,Paglino,Grn,False,14649,0.87
20241105DE8281,DE,Delaware,S,Class I,1,Called,2024-11-06T22:25:28.936000+00:00,528,533,99.06,99.0,500505,65591,Lisa,Blunt Rochester,Dem,False,283244,56.59
20241105DE8281,DE,Delaware,S,Class I,1,Called,2024-11-06T22:25:28.936000+00:00,528,533,99.06,99.0,500505,167103,Eric,Hansen,GOP,False,197710,39.5
20241105DE8281,DE,Delaware,S,Class I,1,Called,2024-11-06T22:25:28.936000+00:00,528,533,99.06,99.0,500505,103229,Michael,Katz,IPD,False,19551,3.91
20241105FL10005,FL,Florida,S,Class I,1,Called,2024-11-08T01:11:38.143000+00:00,5575,5631,99.01,99.0,10742759,61149,Rick,Scott,GOP,True,5971104,55.58
20241105FL10005,FL,Florida,S,Class I,1,Called,2024-11-08T01:11:38.143000+00:00,5575,5631,99.01,99.0,10742759,67658,Debbie,Mucarsel-Powell,Dem,False,4595447,42.78
20241105FL10005,FL,Florida,S,Class I,1,Called,2024-11-08T01:11:38.143000+00:00,5575,5631,99.01,99.0,10742759,167868,Ben,Everidge,NPA,False,62542,0.58
20241105FL10005,FL,Florida,S,Class I,1,Called,2024-11-08T01:11:38.143000+00:00,5575,5631,99.01,99.0,10742759,167867,Feena,Bonoan,Lib,False,57201,0.53
20241105FL10005,FL,Florida,S,Class I,1,Called,2024-11-08T01:11:38.143000+00:00,5575,5631,99.01,99.0,10742759,71777,Tuan,Nguyen,NPA,False,56465,0.53
