race_id,state_postal,state_name,office_id,seat_name,seat_num,race_call_status,last_updated,precincts_reporting,precincts_total,precincts_reporting_pct,expected_vote_pct,total_votes,candidate_id,first_name,last_name,party,incumbent,vote_count,vote_pct
20161108AK2015,AK,Alaska,H,District 1,1,Unknown,2022-10-26T21:59:37.450000+00:00,442,442,100,100,0,6024,Don,Young,GOP,True,155088,50.52
20161108AK2015,AK,Alaska,H,District 1,1,Unknown,2022-10-26T21:59:37.450000+00:00,442,442,100,100,0,6482,Steve,Lindbeck,Dem,False,111019,36.17
20161108AK2015,AK,Alaska,H,District 1,1,Unknown,2022-10-26T21:59:37.450000+00:00,442,442,100,100,0,6381,Jim,McDermott,Lib,False,31770,10.35
20161108AK2015,AK,Alaska,H,District 1,1,Unknown,2022-10-26T21:59:37.450000+00:00,442,442,100,100,0,6651,Bernie,Souphanavong,NPA,False,9093,2.96
20161108AL1005,AL,Alabama,H,District 1,1,Unknown,2022-10-26T21:59:39.233000+00:00,331,331,100,100,0,4519,Bradley,Byrne,GOP,True,208083,100
20161108AL1011,AL,Alabama,H,District 4,4,Unknown,2022-10-26T21:59:43.117000+00:00,448,448,100,100,0,4357,Robert,Aderholt,GOP,True,235925,100
20161108AL1374,AL,Alabama,H,District 2,2,Unknown,2022-10-26T21:59:39.693000+00:00,449,449,100,100,0,4385,Martha,Roby,GOP,True,134886,54.62
20161108AL1374,AL,Alabama,H,District 2,2,Unknown,2022-10-26T21:59:39.693000+00:00,449,449,100,100,0,5082,Nathan,Mathis,Dem,False,112089,45.38
20161108AL1375,AL,Alabama,H,District 3,3,Unknown,2022-10-26T21:59:41.597000+00:00,325,325,100,100,0,4356,Mike,Rogers,GOP,True,192164,67.02
20161108AL1375,AL,Alabama,H,District 3,3,Unknown,2022-10-26T21:59:41.597000+00:00,325,325,100,100,0,5086,Jesse,Smith,Dem,False,94549,32.98
20161108AL1376,AL,Alabama,H,District 5,5,Unknown,2022-10-26T21:59:44.030000+00:00,215,215,100,100,0,4358,Mo,Brooks,GOP,True,205647,66.79
20161108AL1376,AL,Alabama,H,District 5,5,Unknown,2022-10-26T21:59:44.030000+00:00,215,215,100,100,0,5089,Will,Boyd,Dem,False,102234,33.21
20161108AL1377,AL,Alabama,H,District 6,6,Unknown,2022-10-26T21:59:44.647000+00:00,305,305,100,100,0,4781,Gary,Palmer,GOP,True,245313,74.56
20161108AL1377,AL,Alabama,H,District 6,6,Unknown,2022-10-26T21:59:44.647000+00:00,305,305,100,100,0,5090,David,Putman,Dem,False,83709,25.44
20161108AL1378,AL,Alabama,H,District 7,7,Unknown,2022-10-26T21:59:45.310000+00:00,418,418,100,100,0,4367,Terri,Sewell,Dem,True,229330,100
20161108AR5104,AR,Arkansas,H,District 1,1,Unknown,2022-10-26T22:00:10.580000+00:00,750,750,100,100,0,11569,Rick,Crawford,GOP,True,183866,76.28
