race_id,state_postal,state_name,description,category,summary,race_call_status,last_updated,precincts_reporting,precincts_total,precincts_reporting_pct,expected_vote_pct,total_votes,candidate_id,option_name,vote_count,vote_pct
20241105AK83139,AK,Alaska,Alaska Measure 2. Repeals open primaries and ranked choice voting.,Voting & Elections,"This ballot measure would repeal Alaska's open primary system in which the top four vote recipients, regardless of party, advance to the general election. It also would repeal the use of ranked choice voting in general elections.",Too Early to Call,2024-11-07T00:13:02.370000+00:00,307,403,76.18,76.24,246171,2,Yes,125230,50.87
20241105AK83139,AK,Alaska,Alaska Measure 2. Repeals open primaries and ranked choice voting.,Voting & Elections,"This ballot measure would repeal Alaska's open primary system in which the top four vote recipients, regardless of party, advance to the general election. It also would repeal the use of ranked choice voting in general elections.",Too Early to Call,2024-11-07T00:13:02.370000+00:00,307,403,76.18,76.24,246171,3,No,120941,49.13
20241105AZ83095,AZ,Arizona,Arizona Proposition 133. Requires partisan primaries.,Voting & Elections,"This ballot measure would place into Arizona's constitution the current method of partisan primaries, prohibiting candidates from all parties from being placed in the same primary.",Called,2024-11-07T05:21:38.651000+00:00,1174,1736,67.63,67.64,2266785,3,No,1307233,57.67
20241105AZ83095,AZ,Arizona,Arizona Proposition 133. Requires partisan primaries.,Voting & Elections,"This ballot measure would place into Arizona's constitution the current method of partisan primaries, prohibiting candidates from all parties from being placed in the same primary.",Called,2024-11-07T05:21:38.651000+00:00,1174,1736,67.63,67.64,2266785,2,Yes,959552,42.33
20241105AZ83101,AZ,Arizona,Arizona Proposition 139. Creates a constitutional right to abortion.,Abortion,This proposed amendment to Arizona's constitution would create a right to abortion until fetal viability and allow abortions later to protect the life or health of a pregnant woman.,Called,2024-11-07T05:21:38.146000+00:00,1190,1736,68.55,68.52,2399404,2,Yes,1473423,61.41
20241105AZ83101,AZ,Arizona,Arizona Proposition 139. Creates a constitutional right to abortion.,Abortion,This proposed amendment to Arizona's constitution would create a right to abortion until fetal viability and allow abortions later to protect the life or health of a pregnant woman.,Called,2024-11-07T05:21:38.146000+00:00,1190,1736,68.55,68.52,2399404,3,No,925981,38.59
20241105AZ83102,AZ,Arizona,Arizona Proposition 140. Requires open primaries.,Voting & Elections,"This proposed amendment to Arizona's constitution would require open primaries in which candidates of all parties compete against each other, with a certain number advancing to the general election. Ranked choice voting would be required for general elections with more than two candidates.",Called,2024-11-07T05:21:38.367000+00:00,1182,1736,68.09,68.11,2306867,3,No,1361031,59.0
20241105AZ83102,AZ,Arizona,Arizona Proposition 140. Requires open primaries.,Voting & Elections,"This proposed amendment to Arizona's constitution would require open primaries in which candidates of all parties compete against each other, with a certain number advancing to the general election. Ranked choice voting would be required for general elections with more than two candidates.",Called,2024-11-07T05:21:38.367000+00:00,1182,1736,68.09,68.11,2306867,2,Yes,945836,41.0
20241105AZ83106,AZ,Arizona,Arizona Proposition 314. Allows police to arrest immigrants who enter the U.S. illegally.,Courts and Justice,This ballot measure would allow police to arrest immigrants who don't cross the border at a legal port of entry and would make it a state crime for people living in the U.S. illegally to apply for public benefits. It also would create a crime of selling fentanyl that causes someone's death.,Called,2024-11-07T05:21:38.973000+00:00,1178,1736,67.86,67.88,2311252,2,Yes,1453907,62.91
20241105AZ83106,AZ,Arizona,Arizona Proposition 314. Allows police to arrest immigrants who enter the U.S. illegally.,Courts and Justice,This ballot measure would allow police to arrest immigrants who don't cross the border at a legal port of entry and would make it a state crime for people living in the U.S. illegally to apply for public benefits. It also would create a crime of selling fentanyl that causes someone's death.,Called,2024-11-07T05:21:38.973000+00:00,1178,1736,67.86,67.88,2311252,3,No,857345,37.09
20241105CO83183,CO,Colorado,Colorado Amendment 79. Creates a constitutional right to abortion.,Abortion,This proposed amendment to Colorado's constitution would create a right to abortion and repeal an existing provision that allows public funds for abortion only if a pregnant woman's life is in danger. ,Called,2024-11-07T04:01:34.184000+00:00,2458,3202,76.76,76.76,2586467,2,Yes,1591124,61.52
20241105CO83183,CO,Colorado,Colorado Amendment 79. Creates a constitutional right to abortion.,Abortion,This proposed amendment to Colorado's constitution would create a right to abortion and repeal an existing provision that allows public funds for abortion only if a pregnant woman's life is in danger. ,Called,2024-11-07T04:01:34.184000+00:00,2458,3202,76.76,76.76,2586467,3,No,995343,38.48
20241105CO83184,CO,Colorado,Colorado Amendment 80. Creates a constitutional right to school choice.,Education,"This proposed amendment to Colorado's constitution would create a right to school choice for K-12 students and parents, including to choose among public, charter, private and home school options. ",Too Early to Call,2024-11-07T04:01:31.677000+00:00,2452,3202,76.58,76.58,2553759,3,No,1325188,51.89
20241105CO83184,CO,Colorado,Colorado Amendment 80. Creates a constitutional right to school choice.,Education,"This proposed amendment to Colorado's constitution would create a right to school choice for K-12 students and parents, including to choose among public, charter, private and home school options. ",Too Early to Call,2024-11-07T04:01:31.677000+00:00,2452,3202,76.58,76.58,2553759,2,Yes,1228571,48.11
20241105CO83189,CO,Colorado,Colorado Proposition 131. Requires open primaries and ranked choice voting in general elections.,Voting & Elections,"This ballot measure would require open primaries in which candidates of all parties for state offices and federal legislative offices appear on the same ballot, with the top four vote recipients per office advancing to the general election. Ranked choice voting would be used in general elections.",Called,2024-11-07T04:01:32.831000+00:00,2435,3202,76.05,76.03,2501639,3,No,1374157,54.93
20241105CO83189,CO,Colorado,Colorado Proposition 131. Requires open primaries and ranked choice voting in general elections.,Voting & Elections,"This ballot measure would require open primaries in which candidates of all parties for state offices and federal legislative offices appear on the same ballot, with the top four vote recipients per office advancing to the general election. Ranked choice voting would be used in general elections.",Called,2024-11-07T04:01:32.831000+00:00,2435,3202,76.05,76.03,2501639,2,Yes,1127482,45.07
20241105DC83124,DC,District of Columbia,District of Columbia Initiative 83. Authorizes ranked choice voting.,Voting & Elections,"This ballot measure would authorize ranked choice voting in elections with three of more candidates, subject to approval of funding by the District of Columbia Council. It also would allow voters who are not affiliated with a party to vote in any party's primary.",Called,2024-11-06T07:03:25.109000+00:00,105,144,72.92,72.98,256322,2,Yes,186277,72.67
20241105DC83124,DC,District of Columbia,District of Columbia Initiative 83. Authorizes ranked choice voting.,Voting & Elections,"This ballot measure would authorize ranked choice voting in elections with three of more candidates, subject to approval of funding by the District of Columbia Council. It also would allow voters who are not affiliated with a party to vote in any party's primary.",Called,2024-11-06T07:03:25.109000+00:00,105,144,72.92,72.98,256322,3,No,70045,27.33
20241105FL83144,FL,Florida,Florida Amendment 3. Legalizes recreational marijuana.,Drug Policy,This proposed amendment to Florida's constitution would legalize the recreational use of marijuana for people age 21 and older. ,Called,2024-11-06T21:49:53.398000+00:00,5575,5631,99.01,99.0,10630497,3,No,4689044,44.11
20241105FL83144,FL,Florida,Florida Amendment 3. Legalizes recreational marijuana.,Drug Policy,This proposed amendment to Florida's constitution would legalize the recreational use of marijuana for people age 21 and older. ,Called,2024-11-06T21:49:53.398000+00:00,5575,5631,99.01,99.0,10630497,2,Yes,5941453,55.89
20241105FL83145,FL,Florida,Florida Amendment 4. Creates a constitutional right to abortion.,Abortion,This proposed amendment to Florida's constitution would prohibit laws restricting abortion before fetal viability or when necessary to protect a pregnant woman's health. ,Called,2024-11-06T21:49:53.495000+00:00,5575,5631,99.01,99.0,10607587,3,No,4545915,42.86
20241105FL83145,FL,Florida,Florida Amendment 4. Creates a constitutional right to abortion.,Abortion,This proposed amendment to Florida's constitution would prohibit laws restricting abortion before fetal viability or when necessary to protect a pregnant woman's health. ,Called,2024-11-06T21:49:53.495000+00:00,5575,5631,99.01,99.0,10607587,2,Yes,6061672,57.14
20241105IA83210,IA,Iowa,Iowa Amendment 1. Prohibits noncitizens from voting.,Voting & Elections,"This proposed amendment to Iowa's constitution would state that only citizens of the United States can vote in elections, repealing an existing provision stating that every citizen can vote.",Called,2024-11-06T23:26:16.610000+00:00,1632,1653,98.73,98.36,1490118,2,Yes,1129790,75.82
20241105IA83210,IA,Iowa,Iowa Amendment 1. Prohibits noncitizens from voting.,Voting & Elections,"This proposed amendment to Iowa's constitution would state that only citizens of the United States can vote in elections, repealing an existing provision stating that every citizen can vote.",Called,2024-11-06T23:26:16.610000+00:00,1632,1653,98.73,98.36,1490118,3,No,360328,24.18
20241105ID83115,ID,Idaho,Idaho Amendment HJR 5. Prohibits noncitizens from voting.,Voting & Elections,This proposed amendment to Idaho's constitution would prohibit people who are not U.S. citizens from voting in elections.,Called,2024-11-06T23:59:17.506000+00:00,958,975,98.26,98.27,862905,2,Yes,560560,64.96
20241105ID83115,ID,Idaho,Idaho Amendment HJR 5. Prohibits noncitizens from voting.,Voting & Elections,This proposed amendment to Idaho's constitution would prohibit people who are not U.S. citizens from voting in elections.,Called,2024-11-06T23:59:17.506000+00:00,958,975,98.26,98.27,862905,3,No,302345,35.04
20241105ID83155,ID,Idaho,Idaho Proposition 1. Requires open primaries and ranked choice voting.,Voting & Elections,"This ballot measure would require open primaries in which candidates of all parties appear on the same ballot, with the top four vote recipients for each office advancing to a general election. Ranked choice voting would be used in general elections.",Called,2024-11-06T23:59:14.722000+00:00,958,975,98.26,98.26,867736,3,No,606087,69.85
