race_id,state_postal,state_name,description,category,summary,race_call_status,last_updated,precincts_reporting,precincts_total,precincts_reporting_pct,expected_vote_pct,total_votes,candidate_id,option_name,vote_count,vote_pct
20201103AK3136,AK,Alaska,Pri top four go to GE,Uncategorized,,Unknown,2020-12-01T01:26:14.747000+00:00,442,442,100,0,0,7115,Yes,174032,50.55
20201103AK3136,AK,Alaska,Pri top four go to GE,Uncategorized,,Unknown,2020-12-01T01:26:14.747000+00:00,442,442,100,0,0,7114,No,170251,49.45
20201103AL2081,AL,Alabama,"Specify ""only a citizen""",Uncategorized,,Unknown,2020-11-23T21:10:15.800000+00:00,2281,2281,100,0,0,5858,Yes,1527408,77.02
20201103AL2081,AL,Alabama,"Specify ""only a citizen""",Uncategorized,,Unknown,2020-11-23T21:10:15.800000+00:00,2281,2281,100,0,0,5857,No,455797,22.98
20201103AR6781,AR,Arkansas,For state legislators,Uncategorized,,Unknown,2020-11-27T18:54:00.913000+00:00,2575,2575,100,0,0,13810,For,647861,55.38
20201103AR6781,AR,Arkansas,For state legislators,Uncategorized,,Unknown,2020-11-27T18:54:00.913000+00:00,2575,2575,100,0,0,13811,Against,521979,44.62
20201103AZ4223,AZ,Arizona,Regulate and tax,Uncategorized,,Unknown,2020-11-30T22:46:49.003000+00:00,1489,1489,100,0,0,10395,Yes,1956440,60.03
20201103AZ4223,AZ,Arizona,Regulate and tax,Uncategorized,,Unknown,2020-11-30T22:46:49.003000+00:00,1489,1489,100,0,0,10396,No,1302458,39.97
20201103CA8794,CA,California,In government policies,Uncategorized,,Unknown,2020-12-12T16:26:03.987000+00:00,20499,20499,100,0,0,22556,No,9655595,57.23
20201103CA8794,CA,California,In government policies,Uncategorized,,Unknown,2020-12-12T16:26:03.987000+00:00,20499,20499,100,0,0,22555,Yes,7217064,42.77
20201103CA8799,CA,California,Provide other benefits,Uncategorized,,Unknown,2020-12-12T16:26:03.987000+00:00,20268,20499,98.87,0,0,22565,Yes,9957858,58.63
20201103CA8799,CA,California,Provide other benefits,Uncategorized,,Unknown,2020-12-12T16:26:03.987000+00:00,20268,20499,98.87,0,0,22566,No,7027467,41.37
20201103CO7695,CO,Colorado,Slightly revise,Uncategorized,,Unknown,2020-12-04T19:12:09.543000+00:00,3276,3276,100,0,0,13757,Yes,1985239,62.9
20201103CO7695,CO,Colorado,Slightly revise,Uncategorized,,Unknown,2020-12-04T19:12:09.543000+00:00,3276,3276,100,0,0,13756,No,1171137,37.1
20201103CO7698,CO,Colorado,Join Interstate Compact,Uncategorized,,Unknown,2020-12-04T19:12:09.543000+00:00,3276,3276,100,0,0,13763,Yes,1644716,52.33
20201103CO7698,CO,Colorado,Join Interstate Compact,Uncategorized,,Unknown,2020-12-04T19:12:09.543000+00:00,3276,3276,100,0,0,13762,No,1498500,47.67
20201103CO7700,CO,Colorado,Exempt medical need,Uncategorized,,Unknown,2020-12-04T19:12:09.543000+00:00,3276,3276,100,0,0,13766,No,1859479,58.99
20201103CO7700,CO,Colorado,Exempt medical need,Uncategorized,,Unknown,2020-12-04T19:12:09.543000+00:00,3276,3276,100,0,0,13767,Yes,1292787,41.01
20201103DC9344,DC,District of Columbia,Lowest police priority,Uncategorized,,Unknown,2020-12-02T17:58:32.683000+00:00,143,143,100,0,0,10433,For,214685,76.18
20201103DC9344,DC,District of Columbia,Lowest police priority,Uncategorized,,Unknown,2020-12-02T17:58:32.683000+00:00,143,143,100,0,0,10434,Against,67140,23.82
20201103FL12103,FL,Florida,"Specify ""Only a citizen""",Uncategorized,,Unknown,2020-11-17T16:51:52.197000+00:00,6097,6097,100,0,0,22946,Yes,8307109,79.29
20201103FL12103,FL,Florida,"Specify ""Only a citizen""",Uncategorized,,Unknown,2020-11-17T16:51:52.197000+00:00,6097,6097,100,0,0,22945,No,2169684,20.71
20201103FL12104,FL,Florida,Fifteen dollars by 2026,Uncategorized,,Unknown,2020-11-17T16:51:52.197000+00:00,6097,6097,100,0,0,22947,Yes,6391753,60.82
20201103FL12104,FL,Florida,Fifteen dollars by 2026,Uncategorized,,Unknown,2020-11-17T16:51:52.197000+00:00,6097,6097,100,0,0,22948,No,4117815,39.18
20201103FL12105,FL,Florida,for State Offices,Uncategorized,,Unknown,2020-11-17T16:51:52.197000+00:00,6097,6097,100,0,0,22949,Yes,5854468,57.03
20201103FL12105,FL,Florida,for State Offices,Uncategorized,,Unknown,2020-11-17T16:51:52.197000+00:00,6097,6097,100,0,0,22950,No,4410768,42.97
20201103GA12594,GA,Georgia,Allow state to be sued,Uncategorized,,Unknown,2020-12-07T20:18:20.480000+00:00,2656,2656,100,0,0,22262,Yes,3491296,74.46
20201103GA12594,GA,Georgia,Allow state to be sued,Uncategorized,,Unknown,2020-12-07T20:18:20.480000+00:00,2656,2656,100,0,0,22263,No,1197792,25.54
